,x,y,bedrock_altitude (m)
1643,-1598499.8,-245999.72,-583.7733251245886
1653,-1593499.8,-245999.72,-877.204630150304
1663,-1588499.8,-245999.72,-1065.416124391589
1673,-1583499.8,-245999.72,-1313.8095699511805
1683,-1578499.8,-245999.72,-1274.885276941268
1693,-1573499.8,-245999.72,-1229.0905206125678
1703,-1568499.8,-245999.72,-1140.3966237704317
1713,-1563499.8,-245999.72,-981.6962201866836
1723,-1558499.8,-245999.72,-755.5095133269144
1733,-1553499.8,-245999.72,-825.1179756192719
1743,-1548499.8,-245999.72,-1045.4438997780003
1753,-1543499.8,-245999.72,-979.6909054288892
1763,-1538499.8,-245999.72,-1078.3366714481017
1773,-1533499.8,-245999.72,-673.2289820073377
1783,-1528499.8,-245999.72,-783.6778404073006
1793,-1523499.8,-245999.72,-542.1246798862951
1804,-1617999.8,-245499.72,257.799796953705
1814,-1612999.8,-245499.72,-126.7729167115986
1824,-1607999.8,-245499.72,-180.6922404112535
1834,-1602999.8,-245499.72,-122.68842628005426
1844,-1597999.8,-245499.72,-661.3177924425386
1854,-1592999.8,-245499.72,-982.1071219707592
1864,-1587999.8,-245499.72,-1151.7036551467495
1874,-1582999.8,-245499.72,-1247.012679023264
1884,-1577999.8,-245499.72,-1255.4880834555022
1894,-1572999.8,-245499.72,-1161.049706362928
1904,-1567999.8,-245499.72,-1199.0017054292648
1914,-1562999.8,-245499.72,-1004.2824384788968
1924,-1557999.8,-245499.72,-1005.0605731815224
1934,-1552999.8,-245499.72,-956.366056583768
1944,-1547999.8,-245499.72,-1050.4333510668268
1954,-1542999.8,-245499.72,-1025.7215592595785
1964,-1537999.8,-245499.72,-1077.2624512039788
1974,-1532999.8,-245499.72,-782.3580044179047
1984,-1527999.8,-245499.72,-738.8450550477701
1994,-1522999.8,-245499.72,-776.9388622728682
2005,-1617499.8,-244999.72,22.145949264355085
2015,-1612499.8,-244999.72,-259.3001356328483
2025,-1607499.8,-244999.72,-360.82009980151554
2035,-1602499.8,-244999.72,-270.23448268815787
2045,-1597499.8,-244999.72,-850.1196686273254
2055,-1592499.8,-244999.72,-1118.6565343837046
2065,-1587499.8,-244999.72,-1192.345245870447
2075,-1582499.8,-244999.72,-1305.392749109627
2085,-1577499.8,-244999.72,-1220.8296092132
2095,-1572499.8,-244999.72,-1155.6887282856846
2105,-1567499.8,-244999.72,-1232.9311069423784
2115,-1562499.8,-244999.72,-914.7596197492912
2125,-1557499.8,-244999.72,-963.5470709405884
2135,-1552499.8,-244999.72,-960.0184897669176
2145,-1547499.8,-244999.72,-1129.1143518630272
2155,-1542499.8,-244999.72,-1066.8667017431517
2165,-1537499.8,-244999.72,-942.7934387984564
2175,-1532499.8,-244999.72,-756.6103087019774
2185,-1527499.8,-244999.72,-520.7242579687786
2195,-1522499.8,-244999.72,-662.1151779305877
2206,-1616999.8,-244499.72,26.47461134620628
2216,-1611999.8,-244499.72,-248.64691722194496
2226,-1606999.8,-244499.72,-188.06694937192103
